,node_id,ycoord,xcoord,street_count,ref,highway,geometry
16833,8297394190,35.5791068,129.3578624,1,,,POINT (129.3578624 35.5791068)
16834,8297394191,35.5789911,129.3571716,3,,,POINT (129.3571716 35.5789911)
16835,8297394192,35.579173,129.357153,3,,,POINT (129.357153 35.579173)
16836,8297394193,35.5766133,129.3579824,1,,,POINT (129.3579824 35.5766133)
16837,8297394228,35.5709771,129.3559019,3,,,POINT (129.3559019 35.5709771)
16838,8297394229,35.5709968,129.3565491,3,,,POINT (129.3565491 35.5709968)
16839,8297394232,35.5712371,129.3569323,3,,,POINT (129.3569323 35.5712371)
16840,8297394235,35.5709855,129.3561993,3,,,POINT (129.3561993 35.5709855)
16841,8297394236,35.5708035,129.356205,3,,,POINT (129.356205 35.5708035)
16842,8297394237,35.5709907,129.3563812,3,,,POINT (129.3563812 35.5709907)
16843,8297394238,35.5708089,129.3563929,3,,,POINT (129.3563929 35.5708089)
16844,8297394239,35.5709806,129.3560274,3,,,POINT (129.3560274 35.5709806)
16845,8297394240,35.5707986,129.3560333,3,,,POINT (129.3560333 35.5707986)
16846,8297394241,35.5711983,129.3555826,1,,,POINT (129.3555826 35.5711983)
16847,8297394244,35.5710625,129.3555978,1,,,POINT (129.3555978 35.5710625)
16848,8297394245,35.5710633,129.3557604,3,,,POINT (129.3557604 35.5710633)
16849,8297394295,35.5731453,129.3571444,3,,,POINT (129.3571444 35.5731453)
16850,8297394296,35.5727736,129.3571667,1,,,POINT (129.3571667 35.5727736)
16851,8297394309,35.5697178,129.3597852,1,,,POINT (129.3597852 35.5697178)
16852,8297394311,35.5686381,129.3599708,3,,,POINT (129.3599708 35.5686381)
16853,8297394314,35.5691877,129.3599346,1,,,POINT (129.3599346 35.5691877)
16854,8297394316,35.5674919,129.3606142,1,,,POINT (129.3606142 35.5674919)
16855,8297394317,35.5654534,129.3564693,3,,,POINT (129.3564693 35.5654534)
16856,8297394319,35.5696688,129.3561165,3,,,POINT (129.3561165 35.5696688)
16857,8297394321,35.5697156,129.3570068,3,,,POINT (129.3570068 35.5697156)
16858,8297394322,35.5688859,129.3544776,3,,,POINT (129.3544776 35.5688859)
16859,8297394324,35.5690742,129.3561663,3,,,POINT (129.3561663 35.5690742)
16860,8297394326,35.5670073,129.3555632,1,,,POINT (129.3555632 35.5670073)
16861,8297394327,35.5671,129.3571279,3,,,POINT (129.3571279 35.5671)
16862,8297394330,35.5665278,129.3563794,3,,,POINT (129.3563794 35.5665278)
16863,8297394331,35.5659191,129.3551729,3,,,POINT (129.3551729 35.5659191)
16864,8297394332,35.5660249,129.3571831,3,,,POINT (129.3571831 35.5660249)
16865,8297394333,35.5654244,129.3551971,4,,,POINT (129.3551971 35.5654244)
16866,8297394335,35.5682508,129.3542662,1,,,POINT (129.3542662 35.5682508)
16867,8297394336,35.5683022,129.3546169,3,,,POINT (129.3546169 35.5683022)
16868,8297394337,35.5634842,129.3556405,4,,,POINT (129.3556405 35.5634842)
16869,8297394338,35.5634815,129.355608,1,,,POINT (129.355608 35.5634815)
16870,8297394346,35.5608165,129.3571609,4,,crossing,POINT (129.3571609 35.5608165)
16871,8297394347,35.5607087,129.3574484,4,,crossing,POINT (129.3574484 35.5607087)
16872,8297394348,35.560845,129.3577139,4,,crossing,POINT (129.3577139 35.560845)
16873,8297394349,35.5759118,129.3572602,4,,,POINT (129.3572602 35.5759118)
16874,8297394350,35.567053,129.3563355,4,,,POINT (129.3563355 35.567053)
16875,8297394351,35.561028,129.3574221,4,,crossing,POINT (129.3574221 35.561028)
16876,8297394374,35.565985,129.3564248,4,,,POINT (129.3564248 35.565985)
16877,8297394375,35.5684764,129.3562163,4,,,POINT (129.3562163 35.5684764)
16878,8297394383,35.5652258,129.3474098,3,,,POINT (129.3474098 35.5652258)
16879,8297394384,35.5655655,129.3478831,3,,,POINT (129.3478831 35.5655655)
16880,8297394389,35.5670282,129.347356,3,,,POINT (129.347356 35.5670282)
16881,8297394391,35.5674293,129.3461727,3,,,POINT (129.3461727 35.5674293)
16882,8297394393,35.5674464,129.3465997,4,,,POINT (129.3465997 35.5674464)
16883,8297394398,35.5677241,129.3465465,3,,,POINT (129.3465465 35.5677241)
16884,8297394402,35.5689605,129.3478644,3,,,POINT (129.3478644 35.5689605)
16885,8297394403,35.5688533,129.347928,3,,,POINT (129.347928 35.5688533)
16886,8297394417,35.5663774,129.3447495,3,,,POINT (129.3447495 35.5663774)
16887,8297394418,35.566405,129.3451551,3,,,POINT (129.3451551 35.566405)
16888,8297394420,35.5688205,129.3444148,3,,,POINT (129.3444148 35.5688205)
16889,8297394518,35.5620614,129.3517878,3,,,POINT (129.3517878 35.5620614)
16890,8297394519,35.5610903,129.3517878,3,,,POINT (129.3517878 35.5610903)
16891,8297394520,35.5622068,129.3519911,1,,,POINT (129.3519911 35.5622068)
16892,8297394522,35.5609561,129.3509651,1,,,POINT (129.3509651 35.5609561)
16893,8297394524,35.5614273,129.3519892,3,,,POINT (129.3519892 35.5614273)
16894,8297394525,35.5617606,129.3517865,3,,,POINT (129.3517865 35.5617606)
16895,8297394526,35.5617582,129.35199,3,,,POINT (129.35199 35.5617582)
16896,8297394527,35.5620614,129.3519908,3,,,POINT (129.3519908 35.5620614)
16897,8297394528,35.5608659,129.3516029,1,,,POINT (129.3516029 35.5608659)
16898,8297394530,35.561089,129.3519884,3,,,POINT (129.3519884 35.561089)
16899,8297394532,35.5607193,129.3507649,3,,,POINT (129.3507649 35.5607193)
16900,8297394535,35.5607172,129.3501024,3,,,POINT (129.3501024 35.5607172)
16901,8297394536,35.5610902,129.350084,3,,,POINT (129.350084 35.5610902)
16902,8297394537,35.5610861,129.350785,3,,,POINT (129.350785 35.5610861)
16903,8297394542,35.5611153,129.3493029,3,,,POINT (129.3493029 35.5611153)
16904,8297394543,35.5637849,129.34544,3,,,POINT (129.34544 35.5637849)
16905,8297394544,35.5637947,129.3493041,3,,,POINT (129.3493041 35.5637947)
16906,8297394545,35.5636228,129.3456614,3,,,POINT (129.3456614 35.5636228)
16907,8297394547,35.5634474,129.3456657,3,,,POINT (129.3456657 35.5634474)
16908,8297394548,35.5634573,129.3465654,3,,,POINT (129.3465654 35.5634573)
